iter	Passed	Remaining
750	55530	18411
751	55600	18336
752	55668	18260
753	55737	18184
754	55812	18111
755	55884	18036
756	55958	17962
757	56028	17887
758	56101	17813
759	56168	17737
760	56238	17662
761	56310	17587
762	56377	17511
763	56444	17435
764	56512	17359
765	56580	17284
766	56648	17208
767	56716	17133
768	56785	17057
769	56853	16982
770	56925	16907
771	56995	16832
772	57065	16757
773	57133	16682
774	57206	16608
775	57275	16533
776	57343	16457
777	57421	16384
778	57491	16310
779	57559	16234
780	57627	16159
781	57696	16084
782	57772	16011
783	57935	15961
784	58008	15887
785	58090	15816
786	58178	15745
787	58244	15669
788	58315	15595
789	58385	15520
790	58455	15445
791	58524	15369
792	58593	15294
793	58660	15219
794	58727	15143
795	58797	15068
796	58866	14993
797	58936	14918
798	59007	14844
799	59080	14770
800	59149	14695
801	59218	14620
802	59292	14546
803	59358	14470
804	59427	14395
805	59502	14321
806	59568	14246
807	59636	14171
808	59706	14096
809	59778	14022
810	59847	13947
811	59916	13872
812	59988	13798
813	60057	13723
814	60127	13648
815	60198	13574
816	60270	13499
817	60339	13425
818	60411	13351
819	60483	13276
820	60550	13201
821	60619	13126
822	60690	13052
823	60760	12977
824	60834	12904
825	60907	12830
826	60979	12756
827	61050	12682
828	61122	12607
829	61193	12533
830	61263	12459
831	61339	12385
832	61408	12311
833	61484	12237
834	61554	12163
835	61625	12089
836	61697	12015
837	61768	11940
838	61845	11867
839	61920	11794
840	61996	11721
841	62075	11648
842	62150	11574
843	62220	11500
844	62299	11427
845	62371	11353
846	62448	11280
847	62520	11206
848	62595	11133
849	62672	11059
850	62745	10985
851	62819	10912
852	62891	10838
853	62963	10764
854	63033	10689
855	63103	10615
856	63180	10542
857	63252	10468
858	63327	10394
859	63399	10320
860	63470	10246
861	63544	10173
862	63617	10099
863	63692	10025
864	63762	9951
865	63835	9877
866	63907	9803
867	63978	9729
868	64047	9655
869	64116	9580
870	64191	9507
871	64262	9432
872	64336	9359
873	64407	9285
874	64480	9211
875	64549	9137
876	64621	9063
877	64691	8989
878	64762	8914
879	64832	8840
880	64900	8766
881	64970	8692
882	65044	8618
883	65113	8544
884	65183	8470
885	65253	8396
886	65323	8321
887	65394	8247
888	65464	8173
889	65531	8099
890	65607	8026
891	65680	7952
892	65750	7878
893	65823	7804
894	65894	7730
895	65963	7656
896	66033	7582
897	66106	7508
898	66176	7434
899	66246	7360
900	66319	7287
901	66393	7213
902	66463	7139
903	66533	7065
904	66605	6991
905	66677	6917
906	66748	6844
907	66819	6770
908	66892	6696
909	66962	6622
910	67031	6548
911	67104	6474
912	67175	6401
913	67246	6327
914	67317	6253
915	67391	6179
916	67460	6106
917	67532	6032
918	67606	5958
919	67679	5885
920	67751	5811
921	67825	5737
922	67897	5664
923	67968	5590
924	68045	5517
925	68116	5443
926	68186	5369
927	68255	5295
928	68327	5222
929	68400	5148
930	68472	5074
931	68541	5000
932	68611	4927
933	68681	4853
934	68754	4779
935	68827	4706
936	68898	4632
937	68970	4558
938	69040	4485
939	69109	4411
940	69180	4337
941	69253	4264
942	69324	4190
943	69396	4116
944	69467	4043
945	69537	3969
946	69608	3895
947	69679	3822
948	69753	3748
949	69828	3675
950	69902	3601
951	69971	3527
952	70044	3454
953	70115	3380
954	70186	3307
955	70255	3233
956	70327	3159
957	70400	3086
958	70469	3012
959	70539	2939
960	70611	2865
961	70685	2792
962	70755	2718
963	70827	2645
964	70901	2571
965	70970	2497
966	71037	2424
967	71112	2350
968	71183	2277
969	71254	2203
970	71326	2130
971	71399	2056
972	71468	1983
973	71538	1909
974	71608	1836
975	71679	1762
976	71750	1689
977	71826	1615
978	71900	1542
979	71968	1468
980	72039	1395
981	72111	1321
982	72185	1248
983	72252	1174
984	72326	1101
985	72401	1028
986	72471	954
987	72539	881
988	72609	807
989	72682	734
990	72752	660
991	72824	587
992	72897	513
993	72969	440
994	73037	367
995	73109	293
996	73181	220
997	73252	146
998	73323	73
999	73395	0
